#,segment,VO_track,in,out,dur_s,asset,type,reuse,description,onscreen_text,source_url
1,Cold open,VO-0,0:00.00,0:05.00,5.0,H0,CLIP,,Archipelago aerial (opener),THE LOST WORLD OF SOUTHEAST ASIA  (title in),https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133929_2a480f28-132c-4f44-b3ef-ab4e238d031e.mp4
2,Cold open,VO-0,0:05.00,0:16.00,11.0,S0a,STILL,,STILL Sundaland sea-drop,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_134947_61cc9b6a-87fb-46e7-9d24-68d20af2ec56.png
3,Cold open,VO-0,0:16.00,0:21.00,5.0,OB-C1,CLIP,,Underwater shallow sea,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_134957_4575145b-e465-4ade-bcf0-35b9a04747fe.mp4
4,Cold open,VO-0,0:21.00,0:27.00,6.0,S3b,STILL,yes,STILL H. floresiensis,“tiny humans…”,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_134027_7ebcd87f-8a08-4634-b72d-e3e3b65c3a96.png
5,Cold open,VO-0,0:27.00,0:33.00,6.0,S2b,STILL,yes,STILL cave painting,“the oldest story…”,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133949_10fe8982-62bd-4b9b-88b0-51188f84db93.png
6,Cold open,VO-0,0:33.00,0:39.12,6.12,H4,CLIP,yes,Outrigger canoe on ocean,“sailors who crossed half the planet…”,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133936_d232da54-8ff2-411c-ba7c-47e621a0eaa1.mp4
7,1 · Sundaland,VO-1,0:39.12,0:44.12,5.0,H1,CLIP,,Ice-Age plain aerial,"~20,000 years ago",https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135000_6a8b3848-ab4e-4848-ad8c-0086c2fff251.mp4
8,1 · Sundaland,VO-1,0:44.12,0:49.12,5.0,OB-S1a,CLIP,,Glacial ice sheets,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135002_21fe478f-ea53-4711-ae53-e85dfc7b44af.mp4
9,1 · Sundaland,VO-1,0:49.12,0:55.12,6.0,MAP1,MAP,,MAP: Sundaland shelf,SUNDALAND · “Ice Age” / “Today”,maps/map_clips/MAP1_sundaland.mp4
10,1 · Sundaland,VO-1,0:55.12,1:06.12,11.0,S1a,STILL,,STILL Sundaland plain,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_134950_7601b3fa-a680-4a36-9978-e5268432c283.png
11,1 · Sundaland,VO-1,1:06.12,1:11.12,5.0,OB-S1b,CLIP,,River through forest,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135003_d310ff85-962f-4cb5-94cc-a0e63fdc8267.mp4
12,1 · Sundaland,VO-1,1:11.12,1:16.12,5.0,OB-S1c,CLIP,,Hunter-gatherers on plain,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135004_6c08bc3a-94e7-4d17-8e4a-21d953b201ee.mp4
13,1 · Sundaland,VO-1,1:16.12,1:21.12,5.0,OB-S1d,CLIP,,Fishing at the river,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135025_5775150d-a9f4-412a-8496-664716ca1786.mp4
14,1 · Sundaland,VO-1,1:21.12,1:26.12,5.0,OB-S1f,CLIP,,Water flooding grassland,"~14,000–7,000 years ago",https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135026_13c36e21-be4f-4cba-acac-ae3763c1a727.mp4
15,1 · Sundaland,VO-1,1:26.12,1:31.12,5.0,H1b,CLIP,,The land drowning,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133932_b4502be8-a5ac-41d4-8737-104500f2fc5c.mp4
16,1 · Sundaland,VO-1,1:31.12,1:36.12,5.0,OB-S1g,CLIP,,Dugout fleeing the shore,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135028_5753d773-19e5-49ea-b156-0ece9a6a3493.mp4
17,1 · Sundaland,VO-1,1:36.12,1:41.12,5.0,OB-S1h,CLIP,,Present-day shallow sea,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135031_e30675c2-4fd0-426e-807f-d5deaf4da8e5.mp4
18,1 · Sundaland,VO-1,1:41.12,1:55.92,14.8,MAP1,MAP,yes,MAP: Sundaland shelf,,maps/map_clips/MAP1_sundaland.mp4
19,2 · Sulawesi cave art,VO-2,1:55.92,2:00.92,5.0,H2,CLIP,,Cave-mouth push-in,"SULAWESI, INDONESIA",https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133934_d20d5ee5-8f29-47ff-bdec-089335550ad0.mp4
20,2 · Sulawesi cave art,VO-2,2:00.92,2:05.92,5.0,OB-S2a,CLIP,,Karst spires aerial,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135033_75dd7d6b-2e2e-4b80-850e-ae7c09fa071a.mp4
21,2 · Sulawesi cave art,VO-2,2:05.92,2:10.92,5.0,OB-S2b,CLIP,,Walking into the cave,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135035_c7ab9f30-e018-43ba-820a-2156aafa55a1.mp4
22,2 · Sulawesi cave art,VO-2,2:10.92,2:15.92,5.0,H2b,CLIP,,Settle on painted panel,2024,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135037_80cf3875-c634-47d2-ba0d-277b91b73518.mp4
23,2 · Sulawesi cave art,VO-2,2:15.92,2:26.92,11.0,S2b,STILL,,STILL cave painting,"at least 51,200 years old",https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133949_10fe8982-62bd-4b9b-88b0-51188f84db93.png
24,2 · Sulawesi cave art,VO-2,2:26.92,2:37.92,11.0,S2c,STILL,,STILL pig detail,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_134951_6ed893ab-11f9-4363-9f1f-1fa1f98bd529.png
25,2 · Sulawesi cave art,VO-2,2:37.92,2:42.92,5.0,OB-S2d,CLIP,,Hand dabbing ochre,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135039_0a5ff3be-beeb-40bd-a1ee-9607766094d8.mp4
26,2 · Sulawesi cave art,VO-2,2:42.92,2:47.92,5.0,OB-S2e,CLIP,,Figures being painted,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_142426_e4a8c917-06eb-4862-9084-da928318afdb.mp4
27,2 · Sulawesi cave art,VO-2,2:47.92,2:52.92,5.0,OB-S2f,CLIP,,Lone figure with lamp,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135042_789a1a33-f835-4a95-a64c-405d488d1c2f.mp4
28,2 · Sulawesi cave art,VO-2,2:52.92,3:10.80,17.88,OB-S2a,CLIP,yes,Karst spires aerial,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135033_75dd7d6b-2e2e-4b80-850e-ae7c09fa071a.mp4
29,3 · Flores Hobbits,VO-3,3:10.80,3:15.80,5.0,H3,CLIP,,Liang Bua cave interior,"FLORES, INDONESIA",https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_133935_d883c385-bead-4917-850b-74cc0e1293d0.mp4
30,3 · Flores Hobbits,VO-3,3:15.80,3:20.80,5.0,OB-S3a,CLIP,,Excavation hands,2003 · Liang Bua cave,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135126_15c2406e-54fd-4ca4-887d-b3eef45ddf0d.mp4
31,3 · Flores Hobbits,VO-3,3:20.80,3:25.80,5.0,OB-S3b,CLIP,,Skull emerging from earth,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_142423_2a0f2da1-c818-4a27-902f-0c505912a584.mp4
32,3 · Flores Hobbits,VO-3,3:25.80,3:36.80,11.0,S3e,STILL,,STILL grapefruit skull,~1 meter tall,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_134952_0cadb984-3e6f-4ec5-9b1c-a4a4bba62ab6.png
33,3 · Flores Hobbits,VO-3,3:36.80,3:47.80,11.0,S3b,STILL,,STILL H. floresiensis,Homo floresiensis  (“the Hobbit”),https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_134027_7ebcd87f-8a08-4634-b72d-e3e3b65c3a96.png
34,3 · Flores Hobbits,VO-3,3:47.80,3:52.80,5.0,OB-S3c,CLIP,,Hominin family at cave,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135130_e8e69e0b-7ca6-41c8-8204-f54b9d5b1c3b.mp4
35,3 · Flores Hobbits,VO-3,3:52.80,3:57.80,5.0,OB-S3d,CLIP,,Island dwarfism (elephants),,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135131_3f783622-dfaa-4ab4-a223-b72a78595ef2.mp4
36,3 · Flores Hobbits,VO-3,3:57.80,4:02.80,5.0,OB-S3e,CLIP,,Hunting a dwarf Stegodon,,https://d8j0ntlcm91z4.cloudfront.net/user_30b7CTGiTTJpfv3eHgP4QQtBJ1y/hf_20260720_135133_2b7ad8fb-2468-41c6-b035-ee8132f68b0a.mp4
